"Dynamic Send: Asset Title","Archived Date","Product","Sub-Region","Original Industry","Product Interest","Producer","Region","Country","Language","Contact Type","Company Size","Industry"
"AT_GFM_Commerce Cloud_commerce-cloud-overview-demo","6/2/2026","Agentforce Commerce","Austria","","Agentforce Commerce; Commerce B2B","Stephen Clarke","EMEA","Austria","German","Customer; Prospect","MM; GB",""
"BE_GFM_Commerce Cloud_commerce-cloud-overview-demo","6/2/2026","Agentforce Commerce","Belgium","","Agentforce Commerce; Commerce B2B","Stephen Clarke","EMEA","Belgium","English","Customer; Prospect","MM; GB; EBU",""
"DK_GFM_Commerce Cloud_commerce-cloud-overview-demo","6/2/2026","Agentforce Commerce","Denmark","","Agentforce Commerce; Commerce B2B","Stephen Clarke","EMEA","Denmark; Faroe Islands; Greenland","English","Customer; Prospect","MM; GB; EBU",""
"MDE_GFM_Commerce Cloud_commerce-cloud-overview-demo","6/2/2026","Agentforce Commerce","MDE","","Agentforce Commerce; Commerce B2B","Stephen Clarke","EMEA","Saudi Arabia; United Arab Emirates","English","Customer; Prospect","MM; GB; EBU",""
"PL_GFM_Commerce Cloud_commerce-cloud-overview-demo","6/2/2026","Agentforce Commerce","CEE","","Agentforce Commerce; Commerce B2B","Stephen Clarke","EMEA","Poland","English","Customer; Prospect","MM; GB; EBU",""
"DK_GFM_Commerce Cloud_ecommerce-capabilities","6/2/2026","Agentforce Commerce","Denmark","","Agentforce Commerce; Commerce B2B","Stephen Clarke","EMEA","Denmark; Faroe Islands; Greenland","English","Customer; Prospect","MM; GB; EBU",""
"NO_GFM_Commerce Cloud_ecommerce-capabilities","6/2/2026","Agentforce Commerce","Norway","","Agentforce Commerce; Commerce B2B","Stephen Clarke","EMEA","Norway","English","Customer; Prospect","MM; GB; EBU",""
"MDE_GFM_Commerce Cloud_ecommerce-capabilities","6/2/2026","Agentforce Commerce","MDE","","Agentforce Commerce; Commerce B2B","Stephen Clarke","EMEA","Saudi Arabia; United Arab Emirates","English","Customer; Prospect","MM; GB; EBU",""
"MDE_GFM_Commerce Cloud_how-to-use-ecommerce-agents","6/2/2026","Agentforce Commerce","MDE","","Agentforce Commerce; Commerce B2B","Stephen Clarke","EMEA","Saudi Arabia; United Arab Emirates","English","Customer; Prospect","MM; GB; EBU",""
"SA_GFM_Agentforce Marketing_account-based-marketing-demo","6/2/2026","Marketing Cloud","MDE","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Saudi Arabia","English","Customer; Prospect","MM; GB; EBU",""
"SA_GFM_Agentforce Marketing_marketing-data-demo","6/2/2026","Marketing Cloud","MDE","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Saudi Arabia","English","Customer; Prospect","MM; GB; EBU",""
"MDE_GFM_Agentforce Marketing_conversational-marketing-playbook","6/2/2026","Marketing Cloud","MDE","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Saudi Arabia; United Arab Emirates","English","Customer; Prospect","MM; GB; EBU",""
"SA_GFM_Agentforce Marketing_agentforce-guide","6/2/2026","Marketing Cloud","MDE","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Saudi Arabia","English","Customer; Prospect","MM; GB; EBU",""
"MDE_GFM_Agentforce Marketing_agentforce-campaigns-demo","6/2/2026","Marketing Cloud","MDE","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Saudi Arabia; United Arab Emirates","English","Customer; Prospect","MM; GB; EBU",""
